,meeting_id,vot_itm_id,title
51,MTG-PL-2016-09-14,eli_dl_event_MTG-PL-2016-09-14-VOT-ITM-561897-3,<structuredLabel><title>Prescriptions techniques applicables aux bateaux de navigation intérieure</title><label>Recommandation pour la deuxième lecture: Ivo Belet (A8-0256/2016)</label></structuredLabel>
52,MTG-PL-2016-10-25,eli_dl_event_MTG-PL-2016-10-25-VOT-ITM-562248-8,"<structuredLabel><title>Statistiques des transports par chemin de fer, en ce qui concerne la collecte de données sur les marchandises, les voyageurs et les accidents</title><label>Recommandation pour la deuxième lecture: Michael Cramer (A8-0300/2016) (majorité qualifiée requise)</label></structuredLabel>"
53,MTG-PL-2016-10-25,eli_dl_event_MTG-PL-2016-10-25-VOT-ITM-562249-9,<structuredLabel><title>Statistiques des transports de marchandises par voies navigables intérieures (pouvoirs délégués et compétences d’exécution)</title><label>Recommandation pour la deuxième lecture: Bas Eickhout (A8-0298/2016)</label></structuredLabel>
54,MTG-PL-2016-10-26,eli_dl_event_MTG-PL-2016-10-26-VOT-ITM-562220-6,<structuredLabel><title>Mesures de protection contre les organismes nuisibles aux végétaux</title><label>Recommandation pour la deuxième lecture: Anthea McIntyre (A8-0293/2016)</label></structuredLabel>
55,MTG-PL-2016-10-26,eli_dl_event_MTG-PL-2016-10-26-VOT-ITM-562215-5,<structuredLabel><title>Accessibilité des sites internet et des applications mobiles des organismes du secteur public</title><label>Recommandation pour la deuxième lecture: Dita Charanzová (A8-0269/2016)</label></structuredLabel>
56,MTG-PL-2016-11-22,eli_dl_event_MTG-PL-2016-11-22-VOT-ITM-562467-4,<structuredLabel><title>Plan à long terme pour les stocks de cabillaud et les pêcheries exploitant ces stocks</title><label>Recommandation pour la deuxième lecture: Diane Dodds (A8-0325/2016)</label></structuredLabel>
57,MTG-PL-2016-12-13,eli_dl_event_MTG-PL-2016-12-13-VOT-ITM-562708-2,<structuredLabel><title>Atlantique du Nord-Est: stocks d’eau profonde et pêche dans les eaux internationales</title><label>Recommandation pour la deuxième lecture: Isabelle Thomas (A8-0369/2016) (majorité qualifiée requise)</label></structuredLabel>
58,MTG-PL-2016-12-14,eli_dl_event_MTG-PL-2016-12-14-VOT-ITM-562728-11,<structuredLabel><title>Espace ferroviaire unique européen</title><label>Recommandation pour la deuxième lecture: David-Maria Sassoli (A8-0371/2016) (majorité qualifiée requise)</label></structuredLabel>
59,MTG-PL-2016-12-14,eli_dl_event_MTG-PL-2016-12-14-VOT-ITM-562720-9,<structuredLabel><title>Normalisation des comptes des entreprises de chemin de fer</title><label>Recommandation pour la deuxième lecture: Merja Kyllönen (A8-0368/2016) (majorité qualifiée requise)</label></structuredLabel>
60,MTG-PL-2016-12-14,eli_dl_event_MTG-PL-2016-12-14-VOT-ITM-562727-10,<structuredLabel><title>Services nationaux de transport de voyageurs par chemin de fer</title><label>Recommandation pour la deuxième lecture: Wim van de Camp (A8-0373/2016) (majorité qualifiée requise)</label></structuredLabel>
61,MTG-PL-2017-03-15,eli_dl_event_MTG-PL-2017-03-15-VOT-ITM-588913-4,"<structuredLabel><title>Législation sur les denrées alimentaires et les aliments pour animaux, règles relatives à la santé et au bien-être des animaux, à la santé des végétaux et aux produits phytopharmaceutiques</title><label>Recommandation pour la deuxième lecture: Karin Kadenbach (A8-0022/2017)</label></structuredLabel>"
62,MTG-PL-2017-04-05,eli_dl_event_MTG-PL-2017-04-05-VOT-ITM-595015-6,<structuredLabel><title>Dispositifs médicaux</title><label>Recommandation pour la deuxième lecture: Glenis Willmott (A8-0068/2017)</label></structuredLabel>
63,MTG-PL-2017-04-05,eli_dl_event_MTG-PL-2017-04-05-VOT-ITM-595016-7,<structuredLabel><title>Dispositifs médicaux de diagnostic in vitro</title><label>Recommandation pour la deuxième lecture: Peter Liese (A8-0069/2017)</label></structuredLabel>
64,MTG-PL-2017-07-05,eli_dl_event_MTG-PL-2017-07-05-VOT-ITM-621428-6,<structuredLabel><title>Lutte contre la fraude portant atteinte aux intérêts financiers de l'Union au moyen du droit pénal</title><label>Recommandation pour la deuxième lecture: Ingeborg Gräßle et  Juan Fernando López Aguilar (A8-0230/2017) (majorité des membres qui composent le Parlement requise)</label></structuredLabel>
65,MTG-PL-2017-10-24,eli_dl_event_MTG-PL-2017-10-24-VOT-ITM-650811-6,<structuredLabel><title>Infractions pénales et sanctions applicables dans le domaine du trafic de drogue</title><label>Recommandation pour la deuxième lecture: Teresa Jiménez-Becerril Barrio (A8-0317/2017)</label></structuredLabel>
66,MTG-PL-2017-12-12,eli_dl_event_MTG-PL-2017-12-12-VOT-ITM-662304-1,<structuredLabel><title>Gestion durable des flottes de pêche externes</title><label>Recommandation pour la deuxième lecture: Linnéa Engström (A8-0374/2017) (majorité des membres qui composent le Parlement requise)</label></structuredLabel>
67,MTG-PL-2018-05-30,eli_dl_event_MTG-PL-2018-05-30-VOT-ITM-704390-3,<structuredLabel><title>Défense contre les importations qui font l'objet d'un dumping et de subventions de la part de pays non membres de l'Union européenne</title><label>Recommandation pour la deuxième lecture: Christofer Fjellner (A8-0182/2018)</label></structuredLabel>
